DeviceID,Brand,TheModel,ThumbnailURL,ImageURL,DeepLink,Mint,Good,Poor,Broken,Water damaged/dead
601,Apple,iPad Mini 32GB WiFi + 4G (AT&T),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=601,277.8584,254.0419,222.2867,55.5717,27.7858
602,Apple,iPad Mini 64GB WiFi + 4G (AT&T),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=602,316.7219,290.9422,254.1141,63.3444,31.6722
603,Apple,Apple iPad 3 16 GB + 4G (Verizon) iPad 3 16 GB + 4G (Verizon),http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=603,320,295,270,64,30
604,Apple,Apple iPad 3 32 GB + 4G (Verizon) iPad 3 32 GB + 4G (Verizon),http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=604,365,335,305,72,30
605,Apple,Apple iPad 3 64 GB + 4G (Verizon) iPad 3 64 GB + 4G (Verizon),http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=605,390,360,330,78,30
606,Apple,Apple iPad 3 16 GB + 4G (Sprint) iPad 3 16 GB + 4G (Sprint),http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=606,320,295,270,64,30
607,Apple,Apple iPad 3 32 GB + 4G (Sprint) iPad 3 32 GB + 4G (Sprint),http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=607,365,335,305,72,30
608,Apple,Apple iPad 3 64 GB + 4G (Sprint) iPad 3 64 GB + 4G (Sprint),http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=608,390,360,330,78,30
609,Apple,iPad iPad Mini 16 GB WiFi + 4G (Verizon),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=609,240.57,222.75,192.456,48.114,24.057
610,Apple,iPad iPad Mini 32 GB WiFi + 4G (Verizon),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=610,277.2,253.44,221.76,55.44,27.72
611,Apple,iPad iPad Mini 64 GB WiFi + 4G (Verizon),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=611,316.7208,290.9412,254.1132,63.3442,31.6721
612,Apple,iPad iPad Mini 16 GB WiFi + 4G (Sprint),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=612,240.57,222.75,192.456,48.114,24.057
613,Apple,iPad iPad Mini 32 GB WiFi + 4G (Sprint),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=613,277.2,253.44,221.76,55.44,27.72
614,Apple,iPad iPad Mini 64 GB WiFi + 4G (Sprint),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=614,316.7208,290.9412,254.1132,63.3442,31.6721
